20260301 183900;209.858000;209.885000;209.857000;209.877000;0
20260301 184000;209.874000;209.909000;209.869000;209.869000;0
20260301 184100;209.873000;209.889000;209.829000;209.835000;0
20260301 184200;209.834000;209.851000;209.827000;209.834000;0
20260301 184300;209.834000;209.844000;209.822000;209.844000;0
20260301 184400;209.846000;210.055000;209.816000;210.055000;0
20260301 184500;210.055000;210.059000;209.916000;209.951000;0
20260301 184600;209.950000;210.002000;209.942000;209.970000;0
20260301 184700;209.970000;210.002000;209.966000;209.980000;0
20260301 184800;209.981000;210.034000;209.978000;209.994000;0
20260301 184900;210.002000;210.030000;209.998000;210.012000;0
20260301 185000;210.018000;210.032000;209.987000;209.989000;0
20260301 185100;209.987000;210.006000;209.912000;209.915000;0
20260301 185200;209.916000;209.955000;209.909000;209.953000;0
20260301 185300;209.953000;209.984000;209.949000;209.958000;0
20260301 185400;209.956000;209.991000;209.934000;209.962000;0
20260301 185500;209.960000;209.976000;209.922000;209.949000;0
20260301 185600;209.948000;209.962000;209.927000;209.955000;0
20260301 185700;209.953000;209.984000;209.948000;209.984000;0
20260301 185800;209.980000;209.997000;209.966000;209.971000;0
20260301 185900;209.969000;209.992000;209.957000;209.962000;0
20260301 190000;209.961000;209.976000;209.904000;209.929000;0
20260301 190100;209.935000;210.033000;209.935000;210.005000;0
20260301 190200;210.010000;210.091000;210.009000;210.048000;0
20260301 190300;210.048000;210.067000;210.011000;210.037000;0
20260301 190400;210.047000;210.088000;210.001000;210.006000;0
20260301 190500;210.006000;210.075000;210.003000;210.070000;0
20260301 190600;210.072000;210.101000;210.055000;210.100000;0
20260301 190700;210.100000;210.157000;210.096000;210.113000;0
20260301 190800;210.111000;210.135000;210.074000;210.078000;0
20260301 190900;210.083000;210.107000;210.053000;210.054000;0
20260301 191000;210.055000;210.124000;210.055000;210.073000;0
20260301 191100;210.072000;210.082000;210.005000;210.009000;0
20260301 191200;210.010000;210.019000;209.993000;210.009000;0
20260301 191300;210.010000;210.037000;210.003000;210.025000;0
20260301 191400;210.026000;210.040000;209.989000;210.010000;0
20260301 191500;210.012000;210.048000;209.987000;210.015000;0
20260301 191600;210.013000;210.028000;210.001000;210.010000;0
20260301 191700;210.011000;210.015000;209.947000;209.954000;0
20260301 191800;209.955000;209.957000;209.877000;209.878000;0
20260301 191900;209.878000;209.912000;209.833000;209.912000;0
20260301 192000;209.908000;209.923000;209.886000;209.908000;0
20260301 192100;209.912000;209.917000;209.881000;209.892000;0
20260301 192200;209.891000;209.916000;209.861000;209.869000;0
20260301 192300;209.860000;209.905000;209.845000;209.880000;0
20260301 192400;209.877000;209.907000;209.852000;209.862000;0
20260301 192500;209.862000;209.872000;209.816000;209.854000;0
20260301 192600;209.852000;209.875000;209.839000;209.840000;0
20260301 192700;209.840000;209.858000;209.818000;209.831000;0
20260301 192800;209.830000;209.846000;209.809000;209.828000;0
20260301 192900;209.828000;209.843000;209.788000;209.803000;0
20260301 193000;209.806000;209.924000;209.781000;209.920000;0
20260301 193100;209.926000;209.937000;209.901000;209.919000;0
20260301 193200;209.917000;209.942000;209.910000;209.931000;0
20260301 193300;209.931000;209.961000;209.931000;209.938000;0
20260301 193400;209.936000;209.992000;209.936000;209.984000;0
20260301 193500;209.985000;209.992000;209.934000;209.936000;0
20260301 193600;209.942000;209.978000;209.934000;209.963000;0
20260301 193700;209.962000;209.996000;209.962000;209.991000;0
20260301 193800;209.993000;209.998000;209.945000;209.955000;0
20260301 193900;209.955000;209.980000;209.945000;209.964000;0
20260301 194000;209.962000;209.990000;209.951000;209.980000;0
20260301 194100;209.981000;210.023000;209.980000;210.016000;0
20260301 194200;210.019000;210.054000;209.970000;209.978000;0
20260301 194300;209.979000;209.979000;209.905000;209.905000;0
20260301 194400;209.907000;209.930000;209.884000;209.911000;0
20260301 194500;209.911000;209.945000;209.903000;209.921000;0
20260301 194600;209.924000;209.946000;209.895000;209.922000;0
20260301 194700;209.926000;209.927000;209.883000;209.911000;0
20260301 194800;209.913000;209.941000;209.905000;209.931000;0
20260301 194900;209.932000;209.932000;209.906000;209.907000;0
20260301 195000;209.907000;209.949000;209.885000;209.885000;0
20260301 195100;209.885000;209.908000;209.856000;209.875000;0
20260301 195200;209.874000;209.885000;209.845000;209.855000;0
20260301 195300;209.854000;209.937000;209.849000;209.908000;0
20260301 195400;209.911000;210.031000;209.905000;210.007000;0
20260301 195500;210.012000;210.035000;209.969000;210.018000;0
20260301 195600;210.016000;210.074000;210.013000;210.069000;0
20260301 195700;210.072000;210.100000;210.058000;210.096000;0
20260301 195800;210.093000;210.129000;210.086000;210.129000;0
20260301 195900;210.129000;210.132000;210.054000;210.073000;0
20260301 200000;210.075000;210.210000;210.069000;210.205000;0
20260301 200100;210.204000;210.314000;210.202000;210.288000;0
20260301 200200;210.284000;210.295000;210.230000;210.240000;0
20260301 200300;210.240000;210.260000;210.188000;210.259000;0
20260301 200400;210.255000;210.326000;210.252000;210.322000;0
20260301 200500;210.320000;210.346000;210.299000;210.324000;0
20260301 200600;210.324000;210.360000;210.279000;210.341000;0
20260301 200700;210.342000;210.385000;210.342000;210.345000;0
20260301 200800;210.342000;210.391000;210.330000;210.353000;0
20260301 200900;210.357000;210.392000;210.336000;210.350000;0
20260301 201000;210.350000;210.432000;210.320000;210.419000;0
20260301 201100;210.416000;210.461000;210.397000;210.445000;0
20260301 201200;210.449000;210.455000;210.424000;210.443000;0
20260301 201300;210.442000;210.447000;210.392000;210.398000;0
20260301 201400;210.396000;210.399000;210.329000;210.337000;0
20260301 201500;210.338000;210.345000;210.284000;210.306000;0
20260301 201600;210.307000;210.322000;210.280000;210.315000;0
20260301 201700;210.319000;210.319000;210.264000;210.295000;0
20260301 201800;210.299000;210.314000;210.248000;210.278000;0
20260301 201900;210.271000;210.319000;210.261000;210.303000;0
20260301 202000;210.303000;210.326000;210.276000;210.303000;0
20260301 202100;210.300000;210.305000;210.248000;210.254000;0
20260301 202200;210.258000;210.261000;210.180000;210.196000;0
20260301 202300;210.199000;210.212000;210.167000;210.173000;0
20260301 202400;210.171000;210.171000;210.112000;210.126000;0
20260301 202500;210.124000;210.192000;210.124000;210.153000;0
20260301 202600;210.161000;210.187000;210.147000;210.166000;0
20260301 202700;210.165000;210.203000;210.151000;210.202000;0
20260301 202800;210.202000;210.217000;210.168000;210.174000;0
20260301 202900;210.173000;210.220000;210.161000;210.204000;0
20260301 203000;210.204000;210.264000;210.180000;210.232000;0
20260301 203100;210.238000;210.247000;210.181000;210.197000;0
20260301 203200;210.194000;210.220000;210.160000;210.206000;0
20260301 203300;210.203000;210.204000;210.149000;210.150000;0
20260301 203400;210.147000;210.182000;210.127000;210.170000;0
20260301 203500;210.172000;210.195000;210.150000;210.181000;0
20260301 203600;210.175000;210.178000;210.136000;210.145000;0
20260301 203700;210.148000;210.151000;210.117000;210.140000;0
20260301 203800;210.139000;210.196000;210.127000;210.175000;0
